msmID,source,name,city,country,latitude,longitude,rtt_average,rtt_median
www.sua.ac.tz,Kenya,36914 Kenya Education Network,,Kenya,1,38,82.01,81.915
www.sua.ac.tz,Kenya,36914 Kenya Education Network,,Kenya,1,38,82.555,82.44
www.sua.ac.tz,Kenya,37684 ANGANI-AS,,Kenya,1,38,139.974,139.934
www.udsm.ac.tz,Kenya,36914 Kenya Education Network,,Kenya,1,38,23.443,25.424
www.udsm.ac.tz,Kenya,36914 Kenya Education Network,,Kenya,1,38,27.915,28.28
www.udsm.ac.tz,Kenya,37684 ANGANI-AS,,Kenya,1,38,173.338,169.804
www.up.ac.mz,Kenya,36914 Kenya Education Network,,Kenya,1,38,202.814,185.891
www.up.ac.mz,Kenya,36914 Kenya Education Network,,Kenya,1,38,250.972,257.075
www.up.ac.mz,Kenya,37684 ANGANI-AS,,Kenya,1,38,344.894,328.029
www.uem.mz,Kenya,36914 Kenya Education Network,,Kenya,1,38,51.941,51.853
www.uem.mz,Kenya,36914 Kenya Education Network,,Kenya,1,38,53.255,53.217
www.uem.mz,Kenya,37684 ANGANI-AS,,Kenya,1,38,170.737,170.179
www.knust.edu.gh,Kenya,36914 Kenya Education Network,,Kenya,1,38,279.613,279.402
www.knust.edu.gh,Kenya,36914 Kenya Education Network,,Kenya,1,38,280.785,280.9
www.knust.edu.gh,Kenya,37684 ANGANI-AS,,Kenya,1,38,282.33,282.79
www.ug.edu.gh,Kenya,36914 Kenya Education Network,,Kenya,1,38,280.288,280.349
www.ug.edu.gh,Kenya,36914 Kenya Education Network,,Kenya,1,38,275.999,276.045
www.ug.edu.gh,Kenya,37684 ANGANI-AS,,Kenya,1,38,273.987,273.651
www.univ-bejaia.dz,Kenya,36914 Kenya Education Network,,Kenya,1,38,211.169,211.168
www.univ-bejaia.dz,Kenya,36914 Kenya Education Network,,Kenya,1,38,212.278,211.969
www.univ-bejaia.dz,Kenya,37684 ANGANI-AS,,Kenya,1,38,158.649,158.82
www.uca.ma,Kenya,36914 Kenya Education Network,,Kenya,1,38,248.773,248.82
www.uca.ma,Kenya,36914 Kenya Education Network,,Kenya,1,38,249.75,249.709
www.uca.ma,Kenya,37684 ANGANI-AS,,Kenya,1,38,211.051,210.905
www.uaq.ma,Kenya,36914 Kenya Education Network,,Kenya,1,38,245.701,245.702
www.uaq.ma,Kenya,36914 Kenya Education Network,,Kenya,1,38,246.7,246.7
www.uaq.ma,Kenya,37684 ANGANI-AS,,Kenya,1,38,275.823,275.823
www.ugb.sn,Kenya,36914 Kenya Education Network,,Kenya,1,38,238.834,238.529
www.ugb.sn,Kenya,36914 Kenya Education Network,,Kenya,1,38,239.603,239.536
www.ugb.sn,Kenya,37684 ANGANI-AS,,Kenya,1,38,204.012,203.375
www.ucad.sn,Kenya,36914 Kenya Education Network,,Kenya,1,38,491.111,500.846
www.ucad.sn,Kenya,36914 Kenya Education Network,,Kenya,1,38,477.463,483.72
www.ucad.sn,Kenya,37684 ANGANI-AS,,Kenya,1,38,476.784,475.418
www.unilag.edu.ng,Kenya,36914 Kenya Education Network,,Kenya,1,38,283.529,283.464
www.unilag.edu.ng,Kenya,36914 Kenya Education Network,,Kenya,1,38,284.729,284.703
www.unilag.edu.ng,Kenya,37684 ANGANI-AS,,Kenya,1,38,301.448,300.286
www.abu.edu.ng,Kenya,36914 Kenya Education Network,,Kenya,1,38,279.143,279.09
www.abu.edu.ng,Kenya,36914 Kenya Education Network,,Kenya,1,38,280.458,280.351
www.abu.edu.ng,Kenya,37684 ANGANI-AS,,Kenya,1,38,290.876,290.845
www.aucegypt.edu,Kenya,36914 Kenya Education Network,,Kenya,1,38,176.901,176.882
www.aucegypt.edu,Kenya,36914 Kenya Education Network,,Kenya,1,38,178.375,178.409
www.aucegypt.edu,Kenya,37684 ANGANI-AS,,Kenya,1,38,203.844,203.4
www.uwc.ac.za,Kenya,36914 Kenya Education Network,,Kenya,1,38,188.007,187.987
www.uwc.ac.za,Kenya,36914 Kenya Education Network,,Kenya,1,38,187.499,187.446
www.uwc.ac.za,Kenya,37684 ANGANI-AS,,Kenya,1,38,78.184,77.952
www.sua.ac.tz,SA,36982 UCT,Cape Town,South Africa,-33.9258,18.4259,82.937,71.237
www.sua.ac.tz,SA,36874 Cybersmart,Cape Town,South Africa,-33.9258,18.4259,72.463,72.47
www.sua.ac.tz,SA,37611 Afrihost,Cape Town,South Africa,-33.9165,18.4155,70.741,71.095
www.udsm.ac.tz,SA,36982 UCT,Cape Town,South Africa,-33.9258,18.4259,74.538,76.678
www.udsm.ac.tz,SA,36874 Cybersmart,Cape Town,South Africa,-33.9258,18.4259,68.644,67.574
www.udsm.ac.tz,SA,37611 Afrihost,Cape Town,South Africa,-33.9165,18.4155,97.507,104.674
www.up.ac.mz,SA,36982 UCT,Cape Town,South Africa,-33.9258,18.4259,430.363,299.71
www.up.ac.mz,SA,36874 Cybersmart,Cape Town,South Africa,-33.9258,18.4259,502.681,389.172
www.up.ac.mz,SA,37611 Afrihost,Cape Town,South Africa,-33.9165,18.4155,331.702,333.074
www.uem.mz,SA,36982 UCT,Cape Town,South Africa,-33.9258,18.4259,35.517,35.492
www.uem.mz,SA,36874 Cybersmart,Cape Town,South Africa,-33.9258,18.4259,171.202,171.226
www.uem.mz,SA,37611 Afrihost,Cape Town,South Africa,-33.9165,18.4155,176.926,176.493
www.knust.edu.gh,SA,36982 UCT,Cape Town,South Africa,-33.9258,18.4259,249.202,249.302
www.knust.edu.gh,SA,36874 Cybersmart,Cape Town,South Africa,-33.9258,18.4259,264.427,264.289
www.knust.edu.gh,SA,37611 Afrihost,Cape Town,South Africa,-33.9165,18.4155,244.473,241.634
www.ug.edu.gh,SA,36982 UCT,Cape Town,South Africa,-33.9258,18.4259,238.21,238.241
www.ug.edu.gh,SA,36874 Cybersmart,Cape Town,South Africa,-33.9258,18.4259,260.251,260.184
www.ug.edu.gh,SA,37611 Afrihost,Cape Town,South Africa,-33.9165,18.4155,241.63,241.558
www.univ-bejaia.dz,SA,36982 UCT,Cape Town,South Africa,-33.9258,18.4259,216.304,216.435
www.univ-bejaia.dz,SA,36874 Cybersmart,Cape Town,South Africa,-33.9258,18.4259,201.979,202.152
www.univ-bejaia.dz,SA,37611 Afrihost,Cape Town,South Africa,-33.9165,18.4155,205.051,205.16
www.uca.ma,SA,36982 UCT,Cape Town,South Africa,-33.9258,18.4259,223.565,223.511
www.uca.ma,SA,36874 Cybersmart,Cape Town,South Africa,-33.9258,18.4259,189.066,189.08
www.uca.ma,SA,37611 Afrihost,Cape Town,South Africa,-33.9165,18.4155,197.319,197.42
www.uaq.ma,SA,36982 UCT,Cape Town,South Africa,-33.9258,18.4259,253.023,253.0225
www.uaq.ma,SA,36874 Cybersmart,Cape Town,South Africa,-33.9258,18.4259,218.297,218.293
www.uaq.ma,SA,37611 Afrihost,Cape Town,South Africa,-33.9165,18.4155,218.826,219.105
www.ugb.sn,SA,36982 UCT,Cape Town,South Africa,-33.9258,18.4259,215.379,215.29
www.ugb.sn,SA,36874 Cybersmart,Cape Town,South Africa,-33.9258,18.4259,238.766,238.294
www.ugb.sn,SA,37611 Afrihost,Cape Town,South Africa,-33.9165,18.4155,224.217,223.526
www.ucad.sn,SA,36982 UCT,Cape Town,South Africa,-33.9258,18.4259,380.742,358.2
www.ucad.sn,SA,36874 Cybersmart,Cape Town,South Africa,-33.9258,18.4259,422.145,416.98
www.ucad.sn,SA,37611 Afrihost,Cape Town,South Africa,-33.9165,18.4155,355.126,378.245
www.uonbi.ac.ke,SA,36982 UCT,Cape Town,South Africa,-33.9258,18.4259,207.875,207.948
www.uonbi.ac.ke,SA,36874 Cybersmart,Cape Town,South Africa,-33.9258,18.4259,182.869,182.789
www.uonbi.ac.ke,SA,37611 Afrihost,Cape Town,South Africa,-33.9165,18.4155,73.916,73.764
www.unilag.edu.ng,SA,36982 UCT,Cape Town,South Africa,-33.9258,18.4259,285.786,285.778
www.unilag.edu.ng,SA,36874 Cybersmart,Cape Town,South Africa,-33.9258,18.4259,245.876,245.883
www.unilag.edu.ng,SA,37611 Afrihost,Cape Town,South Africa,-33.9165,18.4155,255,255.057
www.abu.edu.ng,SA,36982 UCT,Cape Town,South Africa,-33.9258,18.4259,255.087,255.217
www.abu.edu.ng,SA,36874 Cybersmart,Cape Town,South Africa,-33.9258,18.4259,271.896,271.87
www.abu.edu.ng,SA,37611 Afrihost,Cape Town,South Africa,-33.9165,18.4155,255.774,255.938
www.aucegypt.edu,SA,36982 UCT,Cape Town,South Africa,-33.9258,18.4259,153.63,153.604
www.aucegypt.edu,SA,36874 Cybersmart,Cape Town,South Africa,-33.9258,18.4259,170.424,170.373
www.aucegypt.edu,SA,37611 Afrihost,Cape Town,South Africa,-33.9165,18.4155,153.058,152.904
