origin,destination,count
36914,36914,170
36914,30844,2
30844,30844,196
30844,36930,12
36930,36930,48
37684,37684,28
37684,6939,1
6939,6939,20
6939,37662,3
37662,37662,43
37662,36930,8
36914,37100,2
37100,37100,323
37100,22354,24
22354,22354,24
37684,37100,2
36914,37662,2
37662,327700,22
327700,31960,24
31960,31960,105
37684,37662,1
36914,36944,30
36944,36944,75
36944,327700,2
37100,31960,22
36944,20965,13
20965,20965,70
20965,37288,4
37288,37288,32
37288,327992,12
327992,327947,6
327947,327947,50
37684,30844,14
30844,8657,3
8657,8657,12
8657,29614,17
29614,29614,33
29614,327947,19
327992,37074,8
37074,37074,49
30844,29614,2
29614,37074,17
20965,3208,7
3208,3208,77
30844,21320,7
21320,3208,38
20965,199354,3
199354,30983,3
30844,6762,14
6762,6762,73
6762,36884,21
36884,30983,20
36944,174,8
174,174,557
174,53589,11
53589,53589,44
30844,6453,3
6453,6453,285
6453,53589,10
174,6453,8
6453,8346,24
8346,8346,362
6762,8346,12
36944,1200,5
1200,37282,5
37282,37282,77
37282,37170,23
30844,1200,2
174,1273,4
1273,1273,40
1273,37148,10
37148,37148,60
37148,37686,25
6762,37148,12
36944,11537,2
1200,16509,2
30844,16509,2
36944,2018,6
2018,2018,181
30844,2018,4
36982,36982,54
36982,36930,1
36874,36874,60
36874,30844,1
37611,37611,36
37611,37662,1
36982,22354,1
36874,37100,3
37611,30844,15
30844,37100,2
37100,6453,8
6453,37662,12
36982,31960,2
30844,37662,2
36874,6939,9
6939,8657,1
36982,327947,1
36874,29614,1
36982,37074,1
37611,29614,1
6939,20965,2
20965,21320,33
36982,3208,1
36982,30983,1
6939,6762,1
36982,53589,1
6939,53589,1
36982,8346,2
6939,12956,2
12956,12956,33
12956,8346,12
36874,36944,2
36944,36914,37
30844,36914,4
36982,36914,1
36982,37170,1
36874,37282,1
30844,37282,1
36982,37686,1
6939,1273,3
6939,3356,1
30844,2914,1
2914,2914,3
2914,3356,1
36982,16509,1
36874,16509,1
37611,16509,1
8346,6453,46
327809,327809,36
327809,8346,18
6453,37100,3
6453,3257,5
3257,3257,15
3257,37100,2
8346,6762,3
6762,37100,1
6453,8657,4
8346,5511,2
5511,5511,8
5511,1273,2
1273,29614,13
8346,12956,1
12956,1273,1
6453,174,18
174,20965,20
6453,1299,3
1299,1299,78
1299,20965,4
6453,6762,3
174,36944,29
6453,37282,6
6453,1273,2
8346,16509,2
6453,16509,2
16509,16509,4
174,2018,22
37286,37286,35
37286,36873,16
36873,3356,8
3356,3356,42
3356,37662,2
37282,1200,9
1200,30844,1
37661,37420,18
37420,37661,18
37661,37661,18
37661,3356,16
36873,22354,1
1200,37100,2
3356,37100,7
37282,37662,1
36873,31960,1
3356,9498,2
9498,37662,8
37282,327992,2
37286,37288,2
37661,37288,2
1200,21320,2
21320,20965,37
36873,3208,1
3356,1299,2
3356,6762,7
37282,3356,2
36873,53589,1
37282,6453,3
3356,22652,1
22652,22652,2
22652,53589,1
3356,6453,4
1200,36944,2
3356,174,7
36873,16509,1
37282,16509,1
3356,16509,1
1200,2018,2
37084,37084,92
37084,37100,5
37182,37182,31
37182,37100,2
327900,327900,17
327900,30844,3
327900,37100,15
37084,6453,11
37182,30844,16
37100,8657,1
37100,29614,2
30844,3208,1
37100,6762,2
37084,36914,2
37100,36914,2
37100,37282,1
1299,37148,3
6453,3356,1
37100,3257,1
37100,16509,1
37100,2018,4
3491,3491,103
3491,30844,2
31960,327700,18
327700,30844,1
42235,42235,18
42235,3741,18
3741,3741,130
3741,30844,2
3491,37100,4
327700,37100,1
3741,37100,3
3741,8657,2
3491,1273,5
327700,37662,8
37662,1200,1
1200,8657,1
37662,6939,2
3741,21320,4
21320,21320,2
3491,174,10
327700,36944,8
3741,3356,7
3491,6762,2
3741,174,10
37662,6453,3
3491,6453,6
3741,37282,1
3491,3356,2
37662,3356,1
3741,16509,2
3491,16509,2
37662,16509,1
3741,2018,2
3491,2018,4
327814,327814,71
327814,30844,1
30997,30997,18
30997,24835,17
24835,3741,17
327814,37100,3
327814,174,9
174,6762,2
327814,36944,2
327814,37282,1
30997,37282,1
174,3356,5
174,16509,5
327814,2018,2
3208,21320,35
21320,30844,2
36947,36947,18
36947,174,13
174,36930,4
20965,1299,16
1299,37100,2
174,37100,10
1299,9498,2
9498,9498,6
174,9498,4
20965,174,12
20965,8657,2
174,37288,4
21320,2603,2
2603,2603,8
2603,1273,2
36947,3491,1
1299,6762,2
36947,6762,2
1299,12956,4
36947,5511,2
5511,8346,2
3208,20965,1
1299,3356,4
3356,37282,7
174,3257,1
21320,16509,2
36903,36903,36
36903,6713,36
6713,6713,144
6713,174,42
174,8657,3
6713,12956,6
6713,6762,3
6713,3257,3
8452,8452,18
8452,1200,2
1200,6939,2
8452,3356,6
8452,6762,14
6762,6453,1
6762,31960,1
6762,1273,4
8452,174,9
174,3208,1
8452,53589,1
8452,36914,1
3356,37170,1
8452,2018,1
