origin,destination,count
36914,36914,14
36914,36944,4
36944,36944,10
36944,20965,6
20965,20965,18
20965,3208,7
3208,3208,23
37684,37684,3
37684,30844,2
30844,30844,19
30844,21320,7
21320,3208,38
36874,36874,8
36874,6939,2
6939,6939,2
6939,20965,2
20965,21320,31
36982,36982,6
36982,3208,1
37611,37611,4
37611,30844,2
8346,8346,16
8346,6453,6
6453,6453,8
6453,174,6
174,174,97
174,20965,20
327809,327809,4
327809,8346,2
6453,1299,2
1299,1299,19
1299,20965,4
37282,37282,6
37282,1200,2
1200,21320,2
21320,20965,6
37286,37286,4
37286,36873,2
36873,3208,1
37661,37420,2
37420,37661,2
37661,37661,2
37661,3356,2
3356,1299,2
37084,37084,10
37084,6453,2
37182,37182,4
37182,30844,2
327900,327900,2
327900,30844,2
30844,3208,1
42235,42235,2
42235,3741,2
3741,3741,14
3741,21320,4
21320,21320,2
3491,3491,12
3491,174,4
31960,31960,2
31960,327700,2
327700,36944,2
327814,327814,8
327814,174,2
30997,30997,2
30997,24835,2
24835,3741,2
36903,36903,4
36903,6713,4
6713,6713,16
6713,174,6
8452,174,4
174,3208,1
8452,8452,2
