origin,destination,count
36914,36914,14
36914,36944,4
36944,36944,6
36944,11537,2
37684,37684,4
37684,30844,2
30844,30844,15
30844,6762,2
6762,6762,2
36944,1200,2
1200,16509,2
30844,16509,2
36982,36982,6
36874,36874,6
36874,6939,1
6939,6939,2
6939,3356,1
37611,37611,4
37611,30844,1
30844,2914,1
2914,2914,3
2914,3356,1
36982,16509,1
36874,16509,1
37611,16509,1
8346,8346,16
8346,6453,4
6453,6453,9
6453,3257,3
3257,3257,13
327809,327809,4
327809,8346,2
8346,16509,2
6453,16509,2
16509,16509,4
37286,37286,4
37286,36873,2
37282,37282,5
37282,3356,1
37661,37420,2
37420,37661,2
37661,37661,2
37661,3356,2
3356,3356,7
36873,16509,1
37282,16509,1
3356,16509,1
37084,37084,10
37084,6453,2
6453,3356,1
37182,37182,4
37182,30844,2
327900,327900,2
327900,37100,2
37100,37100,10
37100,3257,1
37100,16509,1
42235,42235,2
42235,3741,2
3741,3741,14
3741,3356,2
3491,3491,9
3491,3356,2
31960,31960,2
31960,327700,2
327700,37662,2
37662,3356,1
3741,16509,2
3491,16509,2
37662,37662,1
37662,16509,1
327814,327814,8
327814,174,2
174,174,20
174,3356,1
30997,30997,2
30997,24835,2
24835,3741,2
174,16509,5
3208,3208,6
3208,21320,4
21320,20965,2
20965,20965,2
20965,1299,2
1299,1299,5
1299,3356,2
36947,36947,2
36947,174,2
174,3257,1
21320,16509,2
36903,36903,4
36903,6713,4
6713,6713,16
6713,3257,3
6713,174,3
