origin,destination,count
36914,36914,14
36914,36944,4
36944,36944,4
36944,20965,4
20965,20965,18
20965,37288,4
37288,37288,32
37288,327992,12
327992,327947,6
327947,327947,50
37684,37684,4
37684,30844,2
30844,30844,18
30844,8657,3
8657,8657,12
8657,29614,17
29614,29614,33
29614,327947,19
327992,37074,8
37074,37074,49
30844,29614,2
29614,37074,17
36874,36874,6
36874,6939,1
6939,6939,2
6939,8657,1
36982,36982,6
36982,327947,1
37611,37611,4
37611,30844,1
36874,29614,1
36982,37074,1
37611,29614,1
8346,8346,16
8346,6453,3
6453,6453,15
6453,8657,4
327809,327809,4
327809,8346,2
8346,5511,2
5511,5511,4
5511,1273,2
1273,1273,18
1273,29614,13
8346,12956,1
12956,12956,2
12956,1273,1
37282,37282,8
37282,327992,2
37286,37286,4
37286,37288,2
37661,37420,2
37420,37661,2
37661,37661,2
37661,37288,2
37084,37084,10
37084,6453,1
37182,37182,4
37182,30844,2
327900,327900,2
327900,37100,2
37100,37100,16
37100,8657,1
37084,37100,1
37100,29614,2
42235,42235,2
42235,3741,2
3741,3741,6
3741,8657,2
3491,3491,6
3491,1273,3
31960,31960,2
31960,327700,2
327700,37662,2
37662,37662,1
37662,1200,1
1200,8657,1
37662,6939,1
6939,1273,1
3208,3208,6
3208,21320,4
21320,20965,4
20965,8657,2
36947,36947,2
36947,174,1
174,174,26
174,37288,4
20965,21320,2
21320,2603,2
2603,2603,8
2603,1273,2
36947,3491,1
36903,36903,4
36903,6713,4
6713,6713,16
6713,174,6
174,8657,3
8452,8452,2
8452,6762,4
6762,6762,2
6762,1273,4
