origin,destination,count
36982,36982,6
36874,36874,8
36874,36944,2
36944,36944,27
36944,36914,37
36914,36914,44
37611,37611,4
37611,30844,2
30844,30844,17
30844,36914,4
36982,36914,1
8346,8346,16
8346,6453,6
6453,6453,10
6453,174,6
174,174,124
174,36944,29
327809,327809,4
327809,8346,2
37286,37286,4
37286,36873,2
37282,37282,6
37282,1200,2
1200,36944,2
37661,37420,2
37420,37661,2
37661,37661,2
37661,3356,2
3356,3356,2
3356,174,3
36873,3356,1
37084,37084,12
37084,36914,2
37182,37182,4
37182,30844,2
327900,37100,2
37100,37100,10
37100,36914,2
327900,327900,1
42235,42235,2
42235,3741,2
3741,3741,10
3741,174,4
3491,3491,12
3491,174,4
31960,31960,2
31960,327700,2
327700,36944,2
327814,327814,8
327814,36944,2
30997,30997,2
30997,24835,2
24835,3741,2
3208,3208,6
3208,21320,3
21320,20965,3
20965,20965,4
20965,174,4
3208,20965,1
36947,36947,2
36947,174,2
36903,36903,4
36903,6713,4
6713,6713,16
6713,174,6
8452,8452,2
8452,174,2
8452,36914,1
