origin,destination,count
36914,36914,14
36914,36944,4
36944,36944,5
36944,20965,3
20965,20965,10
20965,199354,3
199354,30983,3
37684,37684,4
37684,30844,2
30844,30844,16
30844,6762,3
6762,6762,28
6762,36884,21
36884,30983,20
36944,174,2
174,174,72
174,53589,11
53589,53589,44
30844,6453,3
6453,6453,81
6453,53589,10
36982,36982,6
36982,30983,1
36874,36874,8
36874,6939,2
6939,6939,6
6939,6762,1
37611,37611,4
37611,30844,2
36982,53589,1
6939,53589,1
8346,8346,16
8346,6453,5
6453,6762,3
327809,327809,4
327809,8346,2
8346,6762,1
37286,37286,4
37286,36873,2
36873,3356,1
3356,3356,7
3356,6762,4
37282,37282,4
37282,3356,1
37661,37420,2
37420,37661,2
37661,37661,2
37661,3356,2
36873,53589,1
37282,6453,1
3356,22652,1
22652,22652,2
22652,53589,1
37084,37084,10
37084,6453,2
37182,37182,4
37182,30844,2
327900,327900,2
327900,37100,2
37100,37100,10
37100,6762,1
37100,6453,1
42235,42235,2
42235,3741,2
3741,3741,10
3741,3356,1
3491,3491,10
3491,6762,2
31960,31960,2
31960,327700,2
327700,36944,1
3741,174,3
3491,174,2
327700,37662,1
37662,6453,1
327814,327814,8
327814,174,2
174,6762,2
30997,30997,2
30997,24835,2
24835,3741,2
3208,3208,6
3208,21320,4
21320,20965,4
20965,1299,2
1299,1299,5
1299,6762,2
36947,36947,2
36947,6762,1
20965,174,2
36947,174,1
8452,6762,2
8452,8452,2
8452,53589,1
8452,174,1
