origin,destination,count
36914,36914,14
36914,37662,2
37662,37662,24
37662,327700,22
327700,31960,24
31960,31960,87
37684,37684,4
37684,37662,1
36914,36944,2
36944,36944,6
36944,327700,2
37684,37100,1
37100,37100,131
37100,31960,22
36874,36874,4
36874,37100,2
37100,6453,5
6453,6453,42
6453,37662,9
36982,36982,6
36982,31960,2
37611,37611,4
37611,30844,2
30844,30844,9
30844,37662,2
30844,37100,1
8346,8346,16
8346,6453,5
327809,327809,4
327809,8346,2
6453,3257,2
3257,3257,2
3257,37100,2
8346,6762,1
6762,6762,5
6762,37100,1
37282,37282,6
37282,37662,1
37286,37286,4
37286,36873,2
36873,31960,1
37661,37420,2
37420,37661,2
37661,37661,2
37661,3356,2
3356,3356,9
3356,9498,2
9498,37662,8
37282,1200,1
1200,37100,1
36873,3356,1
3356,37100,4
37084,37084,10
37084,37100,2
37182,37182,2
37182,37100,2
327900,327900,2
327900,30844,1
327900,37100,1
3491,3491,6
3491,37100,2
327814,327814,8
327814,37100,2
30997,30997,2
30997,24835,2
24835,3741,2
3741,3741,6
3741,3356,1
3741,37100,1
3208,3208,6
3208,21320,4
21320,20965,4
20965,20965,4
20965,1299,2
1299,1299,10
1299,9498,2
9498,9498,6
36947,36947,2
36947,174,2
174,174,44
174,9498,4
20965,174,2
174,37100,6
36903,36903,4
36903,6713,4
6713,6713,16
6713,174,6
8452,8452,2
8452,6762,2
6762,6453,1
6762,31960,1
8452,3356,2
