origin,destination,count
36914,36914,14
36914,36944,4
36944,36944,7
36944,1200,3
1200,37282,5
37282,37282,26
37282,37170,23
37684,30844,2
30844,30844,15
30844,1200,2
36944,174,2
174,174,18
174,1273,4
1273,1273,22
1273,37148,10
37148,37148,60
37148,37686,25
37684,37684,2
30844,6762,3
6762,6762,21
6762,37148,12
36982,36982,6
36982,37170,1
36874,36874,8
36874,37282,1
37611,37611,4
37611,30844,2
30844,37282,1
36982,37686,1
36874,6939,1
6939,6939,3
6939,1273,2
8346,8346,16
8346,6453,5
6453,6453,32
6453,37282,6
327809,327809,4
327809,8346,2
6453,1273,2
8346,6762,1
37084,37084,10
37084,6453,2
37182,37182,2
37182,30844,2
327900,327900,2
327900,37100,2
37100,37100,10
37100,37282,1
6453,1299,1
1299,1299,18
1299,37148,3
37100,6762,1
42235,42235,2
42235,3741,2
3741,3741,14
3741,37282,1
3491,3491,12
3491,6453,2
31960,31960,2
31960,327700,2
327700,36944,1
3741,174,1
3491,1273,2
327700,37662,1
37662,6939,1
327814,327814,7
327814,37282,1
30997,30997,2
30997,37282,1
327814,174,1
30997,24835,1
24835,3741,1
3741,3356,1
3356,3356,7
3356,6762,1
3208,3208,6
3208,21320,4
21320,20965,4
20965,20965,4
20965,1299,4
1299,3356,2
3356,37282,7
36947,36947,2
36947,174,1
174,3356,4
36947,6762,1
36903,36903,4
36903,6713,4
6713,6713,16
6713,174,3
6713,6762,3
8452,3356,2
3356,37170,1
8452,8452,2
8452,6762,2
