origin,destination,count
36914,36914,14
36914,36944,4
36944,36944,10
36944,2018,6
2018,2018,181
37684,37684,2
37684,30844,2
30844,30844,12
30844,2018,4
8346,8346,16
8346,6453,6
6453,6453,10
6453,174,6
174,174,106
174,2018,22
327809,327809,4
327809,8346,2
37286,37286,4
37286,36873,2
36873,3356,2
3356,3356,2
3356,174,4
37282,37282,6
37282,1200,2
1200,2018,2
37661,37420,2
37420,37661,2
37661,37661,2
37661,3356,2
37084,37084,10
37084,37100,2
37100,37100,22
37100,2018,4
37182,37182,4
37182,30844,2
327900,327900,2
327900,37100,2
42235,42235,2
42235,3741,2
3741,3741,34
3741,2018,2
3491,3491,12
3491,2018,4
31960,31960,2
31960,327700,2
327700,36944,2
327814,327814,8
327814,2018,2
30997,30997,2
30997,24835,2
24835,3741,2
3208,3208,6
3208,21320,4
21320,20965,4
20965,20965,4
20965,174,4
36947,36947,2
36947,174,2
36903,36903,4
36903,6713,4
6713,6713,16
6713,174,6
8452,2018,1
8452,8452,2
8452,174,2
