origin,destination,count
36914,36914,14
36914,36944,4
36944,174,4
174,174,18
174,6453,8
6453,6453,50
6453,8346,24
8346,8346,218
37684,37684,2
37684,30844,2
30844,30844,14
30844,6762,6
6762,6762,15
6762,8346,12
36982,36982,6
36982,8346,2
36874,36874,8
36874,6939,2
6939,12956,2
12956,12956,31
12956,8346,12
37611,37611,4
37611,30844,2
37286,37286,3
37286,36873,2
36873,3356,2
3356,6453,4
37282,37282,4
37282,6453,2
37661,37420,2
37420,37661,2
37661,37661,2
37661,3356,2
37084,37084,10
37084,6453,2
37182,37182,3
37182,30844,2
327900,327900,2
327900,37100,2
37100,37100,10
37100,6453,2
42235,42235,2
42235,3741,2
3741,3741,10
3741,174,2
3491,3491,12
3491,6453,4
31960,31960,2
31960,327700,2
327700,37662,2
37662,6453,2
327814,327814,8
327814,174,2
30997,30997,2
30997,24835,2
24835,3741,2
3741,3356,2
3356,3356,2
3356,6762,2
3208,3208,6
3208,21320,4
21320,20965,4
20965,20965,4
20965,1299,4
1299,1299,11
1299,12956,4
36947,36947,2
36947,5511,2
5511,5511,4
5511,8346,2
36903,36903,4
36903,6713,4
6713,6713,16
6713,12956,6
8452,6762,4
8452,8452,2
