origin,destination,count
36914,36914,14
36914,30844,2
30844,30844,61
30844,36930,12
36930,36930,48
37684,37684,3
37684,6939,1
6939,6939,5
6939,37662,3
37662,37662,17
37662,36930,8
36914,37100,2
37100,37100,104
37100,22354,24
22354,22354,24
37684,37100,1
36982,36982,6
36982,36930,1
36874,36874,4
36874,30844,1
37611,37611,4
37611,37662,1
36982,22354,1
36874,37100,1
37611,30844,1
30844,37100,1
8346,8346,16
8346,6453,6
6453,6453,28
6453,37662,3
327809,327809,4
327809,8346,2
6453,37100,3
37286,37286,4
37286,36873,2
36873,3356,1
3356,3356,6
3356,37662,2
37282,37282,6
37282,1200,2
1200,30844,1
37661,37420,2
37420,37661,2
37661,37661,2
37661,3356,2
36873,22354,1
1200,37100,1
3356,37100,3
3491,3491,12
3491,30844,2
31960,31960,2
31960,327700,2
327700,30844,1
42235,42235,2
42235,3741,2
3741,3741,12
3741,30844,2
3491,37100,2
327700,37100,1
3741,37100,2
327814,327814,8
327814,30844,1
30997,30997,2
30997,24835,2
24835,3741,2
327814,37100,1
3208,3208,6
3208,21320,4
21320,30844,2
36947,36947,2
36947,174,2
174,174,32
174,36930,4
21320,20965,2
20965,20965,2
20965,1299,2
1299,1299,10
1299,37100,2
174,37100,4
36903,36903,4
36903,6713,4
6713,6713,16
6713,174,6
8452,8452,2
8452,1200,2
1200,6939,2
8452,3356,2
