origin,destination,count
42235,42235,2
42235,3741,2
3741,3741,6
3741,37100,2
37100,37100,17
37100,31960,1
31960,31960,13
3491,3491,12
3491,31960,2
36903,36903,6
36903,6713,6
6713,6713,12
6713,174,3
174,174,18
174,53589,3
53589,53589,5
37084,37084,8
37084,37100,1
37100,22354,3
22354,22354,3
37182,37182,2
37182,37100,1
327900,327900,3
327900,37100,1
3491,1273,2
1273,1273,8
1273,29614,2
29614,29614,2
29614,37074,1
37074,37074,6
327814,327814,6
327814,327992,2
327992,37074,2
30997,30997,2
30997,327992,2
3208,3208,15
36947,36947,2
36947,3208,2
8346,8346,39
327809,327809,4
327809,8346,2
36914,36914,20
37684,37684,4
37684,36914,2
37286,37286,4
37286,36873,1
36873,3356,1
3356,3356,4
3356,1273,2
1273,37148,2
37148,37148,7
37148,37686,3
37282,37282,8
37282,3356,1
3356,6762,1
6762,37148,1
37420,37420,2
37420,37661,2
37661,37661,2
37661,3356,1
8452,16509,2
8452,8452,2
36982,36982,7
36874,36874,4
36874,2018,2
2018,2018,18
37611,37611,4
37611,2018,2
37100,6453,1
6453,6453,4
6453,37662,1
37662,37662,1
37662,327700,1
327700,31960,1
6713,6762,3
6762,6762,6
6762,36884,3
36884,30983,3
37084,36930,1
36930,36930,6
37182,36930,1
327900,36930,1
29614,327947,1
327947,327947,6
327992,327947,2
37286,37282,1
37282,37170,3
37661,37282,1
36982,2018,1
