iata,name,city,country,latitude,longitude
36914,Kenya Education Network,,Kenya,1.0,38.0
36914,Kenya Education Network,,Kenya,1.0,38.0
36914,Kenya Education Network,,Kenya,1.0,38.0
30844,Liquid Telecommunications Ltd,,Mauritius,-20.2833,57.55
30844,Liquid Telecommunications Ltd,,Mauritius,-20.2833,57.55
30844,Liquid Telecommunications Ltd,,Mauritius,-20.2833,57.55
30844,Liquid Telecommunications Ltd,,South Africa,-29.0,24.0
30844,Liquid Telecommunications Ltd,,South Africa,-29.0,24.0
36930,ZanZibar Telecom,,Tanzania,-6.8227,39.291
36930,ZanZibar Telecom,,Tanzania,-6.8227,39.291
36930,ZanZibar Telecom,,Tanzania,-6.8227,39.291
36914,Kenya Education Network,,Kenya,1.0,38.0
36914,Kenya Education Network,,Kenya,1.0,38.0
36914,Kenya Education Network,,Kenya,1.0,38.0
37100,SEACOM-AS,Nairobi,Kenya,-1.2841,36.8155
37100,SEACOM-AS,,Mauritius,-20.2833,57.55
37100,SEACOM-AS,,Mauritius,-20.2833,57.55
37100,SEACOM-AS,Dar es Salaam,Tanzania,-6.7963000000000005,39.2847
37100,SEACOM-AS,Dar es Salaam,Tanzania,-6.7963000000000005,39.2847
22354,UNIV-DAR,Dar es Salaam,Tanzania,-6.7963000000000005,39.2847
22354,UNIV-DAR,Dar es Salaam,Tanzania,-6.7963000000000005,39.2847
36914,Kenya Education Network,,Kenya,1.0,38.0
36914,Kenya Education Network,,Kenya,1.0,38.0
36914,Kenya Education Network,,Kenya,1.0,38.0
37662,WIOCC-AS,,Mauritius,-20.2833,57.55
37662,WIOCC-AS,,Mauritius,-20.2833,57.55
37662,WIOCC-AS,Marseille,France,43.2951,5.3861
327700,MoRENet,,Mozambique,-18.25,35.0
31960,EMUNET,Maputo,Mozambique,-25.9653,32.5892
31960,EMUNET,Maputo,Mozambique,-25.9653,32.5892
31960,EMUNET,Maputo,Mozambique,-25.9653,32.5892
31960,EMUNET,Maputo,Mozambique,-25.9653,32.5892
36914,Kenya Education Network,,Kenya,1.0,38.0
36914,Kenya Education Network,,Kenya,1.0,38.0
36914,Kenya Education Network,,Kenya,1.0,38.0
36944,Ubuntunet Alliance For Research and Education Networking,,South Africa,-29.0,24.0
36944,Ubuntunet Alliance For Research and Education Networking,,South Africa,-29.0,24.0
36944,Ubuntunet Alliance For Research and Education Networking,,South Africa,-29.0,24.0
36944,Ubuntunet Alliance For Research and Education Networking,,South Africa,-29.0,24.0
327700,MoRENet,,Mozambique,-18.25,35.0
31960,EMUNET,Maputo,Mozambique,-25.9653,32.5892
36914,Kenya Education Network,,Kenya,1.0,38.0
36914,Kenya Education Network,,Kenya,1.0,38.0
36914,Kenya Education Network,,Kenya,1.0,38.0
36944,Ubuntunet Alliance For Research and Education Networking,,South Africa,-29.0,24.0
36944,Ubuntunet Alliance For Research and Education Networking,,South Africa,-29.0,24.0
20965,GEANT Vereniging,,United Kingdom,51.4964,-0.1224
20965,GEANT Vereniging,,United Kingdom,51.4964,-0.1224
20965,GEANT Vereniging,,United Kingdom,51.4964,-0.1224
37288,WACREN,,Ghana,8.0,-2.0
37288,WACREN,,Ghana,8.0,-2.0
