iata,name,city,country,latitude,longitude,s
36914,Kenya Education Network,,Kenya,1.0,38.0,TanzaniaMozambiqueGhanaAlgeriaMoroccoSenegalNigeriaEgyptSAKenya
36914,Kenya Education Network,,Kenya,1.0,38.0,TanzaniaMozambiqueGhanaAlgeriaMoroccoSenegalNigeriaEgyptSAKenya
36914,Kenya Education Network,,Kenya,1.0,38.0,TanzaniaMozambiqueGhanaAlgeriaMoroccoSenegalNigeriaEgyptSAKenya
30844,Liquid Telecommunications Ltd,,Mauritius,-20.2833,57.55,TanzaniaGhanaAlgeriaMoroccoSenegalNigeriaEgyptSAMozambiqueKenya
30844,Liquid Telecommunications Ltd,,Mauritius,-20.2833,57.55,TanzaniaGhanaAlgeriaMoroccoSenegalNigeriaEgyptSAMozambiqueKenya
30844,Liquid Telecommunications Ltd,,Mauritius,-20.2833,57.55,TanzaniaGhanaAlgeriaMoroccoSenegalNigeriaEgyptSAMozambiqueKenya
30844,Liquid Telecommunications Ltd,,South Africa,-29.0,24.0,TanzaniaGhanaAlgeriaMoroccoSenegalNigeriaEgyptSAMozambiqueKenya
30844,Liquid Telecommunications Ltd,,South Africa,-29.0,24.0,TanzaniaGhanaAlgeriaMoroccoSenegalNigeriaEgyptSAMozambiqueKenya
36930,ZanZibar Telecom,,Tanzania,-6.8227,39.291,Tanzania
36930,ZanZibar Telecom,,Tanzania,-6.8227,39.291,Tanzania
36930,ZanZibar Telecom,,Tanzania,-6.8227,39.291,Tanzania
36914,Kenya Education Network,,Kenya,1.0,38.0,TanzaniaMozambiqueGhanaAlgeriaMoroccoSenegalNigeriaEgyptSAKenya
36914,Kenya Education Network,,Kenya,1.0,38.0,TanzaniaMozambiqueGhanaAlgeriaMoroccoSenegalNigeriaEgyptSAKenya
36914,Kenya Education Network,,Kenya,1.0,38.0,TanzaniaMozambiqueGhanaAlgeriaMoroccoSenegalNigeriaEgyptSAKenya
36914,Kenya Education Network,,Kenya,1.0,38.0,TanzaniaMozambiqueGhanaAlgeriaMoroccoSenegalNigeriaEgyptSAKenya
30844,Liquid Telecommunications Ltd,,Mauritius,-20.2833,57.55,TanzaniaGhanaAlgeriaMoroccoSenegalNigeriaEgyptSAMozambiqueKenya
30844,Liquid Telecommunications Ltd,,Mauritius,-20.2833,57.55,TanzaniaGhanaAlgeriaMoroccoSenegalNigeriaEgyptSAMozambiqueKenya
30844,Liquid Telecommunications Ltd,,Mauritius,-20.2833,57.55,TanzaniaGhanaAlgeriaMoroccoSenegalNigeriaEgyptSAMozambiqueKenya
30844,Liquid Telecommunications Ltd,,South Africa,-29.0,24.0,TanzaniaGhanaAlgeriaMoroccoSenegalNigeriaEgyptSAMozambiqueKenya
30844,Liquid Telecommunications Ltd,,South Africa,-29.0,24.0,TanzaniaGhanaAlgeriaMoroccoSenegalNigeriaEgyptSAMozambiqueKenya
36930,ZanZibar Telecom,,Tanzania,-6.8227,39.291,Tanzania
36930,ZanZibar Telecom,,Tanzania,-6.8227,39.291,Tanzania
36930,ZanZibar Telecom,,Tanzania,-6.8227,39.291,Tanzania
37684,ANGANI-AS,,Kenya,1.0,38.0,TanzaniaMozambiqueGhanaAlgeriaMoroccoSenegalNigeriaEgyptSA
6939,Hurricane Electric LLC,,United States,37.751,-97.822,TanzaniaGhanaAlgeriaMoroccoSenegalNigeriaEgypt
6939,Hurricane Electric LLC,,United States,37.751,-97.822,TanzaniaGhanaAlgeriaMoroccoSenegalNigeriaEgypt
37662,WIOCC-AS,,Mauritius,-20.2833,57.55,TanzaniaMozambiqueGhanaMoroccoSenegalNigeriaEgypt
37662,WIOCC-AS,Dar es Salaam,Tanzania,-6.7963000000000005,39.2847,TanzaniaMozambiqueGhanaMoroccoSenegalNigeriaEgypt
36930,ZanZibar Telecom,,Tanzania,-6.8227,39.291,Tanzania
36930,ZanZibar Telecom,,Tanzania,-6.8227,39.291,Tanzania
36930,ZanZibar Telecom,,Tanzania,-6.8227,39.291,Tanzania
36914,Kenya Education Network,,Kenya,1.0,38.0,TanzaniaMozambiqueGhanaAlgeriaMoroccoSenegalNigeriaEgyptSAKenya
36914,Kenya Education Network,,Kenya,1.0,38.0,TanzaniaMozambiqueGhanaAlgeriaMoroccoSenegalNigeriaEgyptSAKenya
36914,Kenya Education Network,,Kenya,1.0,38.0,TanzaniaMozambiqueGhanaAlgeriaMoroccoSenegalNigeriaEgyptSAKenya
37100,SEACOM-AS,Nairobi,Kenya,-1.2841,36.8155,TanzaniaMozambiqueGhanaMoroccoSenegalKenyaNigeriaEgyptSA
37100,SEACOM-AS,,Mauritius,-20.2833,57.55,TanzaniaMozambiqueGhanaMoroccoSenegalKenyaNigeriaEgyptSA
37100,SEACOM-AS,,Mauritius,-20.2833,57.55,TanzaniaMozambiqueGhanaMoroccoSenegalKenyaNigeriaEgyptSA
37100,SEACOM-AS,Dar es Salaam,Tanzania,-6.7963000000000005,39.2847,TanzaniaMozambiqueGhanaMoroccoSenegalKenyaNigeriaEgyptSA
37100,SEACOM-AS,Dar es Salaam,Tanzania,-6.7963000000000005,39.2847,TanzaniaMozambiqueGhanaMoroccoSenegalKenyaNigeriaEgyptSA
22354,UNIV-DAR,Dar es Salaam,Tanzania,-6.7963000000000005,39.2847,Tanzania
22354,UNIV-DAR,Dar es Salaam,Tanzania,-6.7963000000000005,39.2847,Tanzania
36914,Kenya Education Network,,Kenya,1.0,38.0,TanzaniaMozambiqueGhanaAlgeriaMoroccoSenegalNigeriaEgyptSAKenya
36914,Kenya Education Network,,Kenya,1.0,38.0,TanzaniaMozambiqueGhanaAlgeriaMoroccoSenegalNigeriaEgyptSAKenya
36914,Kenya Education Network,,Kenya,1.0,38.0,TanzaniaMozambiqueGhanaAlgeriaMoroccoSenegalNigeriaEgyptSAKenya
36914,Kenya Education Network,,Kenya,1.0,38.0,TanzaniaMozambiqueGhanaAlgeriaMoroccoSenegalNigeriaEgyptSAKenya
37100,SEACOM-AS,Nairobi,Kenya,-1.2841,36.8155,TanzaniaMozambiqueGhanaMoroccoSenegalKenyaNigeriaEgyptSA
37100,SEACOM-AS,,Mauritius,-20.2833,57.55,TanzaniaMozambiqueGhanaMoroccoSenegalKenyaNigeriaEgyptSA
37100,SEACOM-AS,,Mauritius,-20.2833,57.55,TanzaniaMozambiqueGhanaMoroccoSenegalKenyaNigeriaEgyptSA
37100,SEACOM-AS,Dar es Salaam,Tanzania,-6.7963000000000005,39.2847,TanzaniaMozambiqueGhanaMoroccoSenegalKenyaNigeriaEgyptSA
37100,SEACOM-AS,Dar es Salaam,Tanzania,-6.7963000000000005,39.2847,TanzaniaMozambiqueGhanaMoroccoSenegalKenyaNigeriaEgyptSA
22354,UNIV-DAR,Dar es Salaam,Tanzania,-6.7963000000000005,39.2847,Tanzania
22354,UNIV-DAR,Dar es Salaam,Tanzania,-6.7963000000000005,39.2847,Tanzania
37684,ANGANI-AS,,Kenya,1.0,38.0,TanzaniaMozambiqueGhanaAlgeriaMoroccoSenegalNigeriaEgyptSA
37684,ANGANI-AS,,Kenya,1.0,38.0,TanzaniaMozambiqueGhanaAlgeriaMoroccoSenegalNigeriaEgyptSA
37100,SEACOM-AS,,Mauritius,-20.2833,57.55,TanzaniaMozambiqueGhanaMoroccoSenegalKenyaNigeriaEgyptSA
37100,SEACOM-AS,Nairobi,Kenya,-1.2841,36.8155,TanzaniaMozambiqueGhanaMoroccoSenegalKenyaNigeriaEgyptSA
37100,SEACOM-AS,,Mauritius,-20.2833,57.55,TanzaniaMozambiqueGhanaMoroccoSenegalKenyaNigeriaEgyptSA
37100,SEACOM-AS,,Mauritius,-20.2833,57.55,TanzaniaMozambiqueGhanaMoroccoSenegalKenyaNigeriaEgyptSA
37100,SEACOM-AS,Dar es Salaam,Tanzania,-6.7963000000000005,39.2847,TanzaniaMozambiqueGhanaMoroccoSenegalKenyaNigeriaEgyptSA
37100,SEACOM-AS,Dar es Salaam,Tanzania,-6.7963000000000005,39.2847,TanzaniaMozambiqueGhanaMoroccoSenegalKenyaNigeriaEgyptSA
22354,UNIV-DAR,Dar es Salaam,Tanzania,-6.7963000000000005,39.2847,Tanzania
22354,UNIV-DAR,Dar es Salaam,Tanzania,-6.7963000000000005,39.2847,Tanzania
36914,Kenya Education Network,,Kenya,1.0,38.0,TanzaniaMozambiqueGhanaAlgeriaMoroccoSenegalNigeriaEgyptSAKenya
36914,Kenya Education Network,,Kenya,1.0,38.0,TanzaniaMozambiqueGhanaAlgeriaMoroccoSenegalNigeriaEgyptSAKenya
36914,Kenya Education Network,,Kenya,1.0,38.0,TanzaniaMozambiqueGhanaAlgeriaMoroccoSenegalNigeriaEgyptSAKenya
37662,WIOCC-AS,,Mauritius,-20.2833,57.55,TanzaniaMozambiqueGhanaMoroccoSenegalNigeriaEgypt
37662,WIOCC-AS,,Mauritius,-20.2833,57.55,TanzaniaMozambiqueGhanaMoroccoSenegalNigeriaEgypt
37662,WIOCC-AS,Marseille,France,43.2951,5.3861,TanzaniaMozambiqueGhanaMoroccoSenegalNigeriaEgypt
327700,MoRENet,,Mozambique,-18.25,35.0,MozambiqueTanzaniaGhanaAlgeriaMoroccoSenegalKenyaNigeriaEgyptSA
31960,EMUNET,Maputo,Mozambique,-25.9653,32.5892,MozambiqueTanzaniaGhanaAlgeriaMoroccoSenegalKenyaNigeriaEgyptSA
31960,EMUNET,Maputo,Mozambique,-25.9653,32.5892,MozambiqueTanzaniaGhanaAlgeriaMoroccoSenegalKenyaNigeriaEgyptSA
31960,EMUNET,Maputo,Mozambique,-25.9653,32.5892,MozambiqueTanzaniaGhanaAlgeriaMoroccoSenegalKenyaNigeriaEgyptSA
31960,EMUNET,Maputo,Mozambique,-25.9653,32.5892,MozambiqueTanzaniaGhanaAlgeriaMoroccoSenegalKenyaNigeriaEgyptSA
36914,Kenya Education Network,,Kenya,1.0,38.0,TanzaniaMozambiqueGhanaAlgeriaMoroccoSenegalNigeriaEgyptSAKenya
36914,Kenya Education Network,,Kenya,1.0,38.0,TanzaniaMozambiqueGhanaAlgeriaMoroccoSenegalNigeriaEgyptSAKenya
36914,Kenya Education Network,,Kenya,1.0,38.0,TanzaniaMozambiqueGhanaAlgeriaMoroccoSenegalNigeriaEgyptSAKenya
36914,Kenya Education Network,,Kenya,1.0,38.0,TanzaniaMozambiqueGhanaAlgeriaMoroccoSenegalNigeriaEgyptSAKenya
37662,WIOCC-AS,,Mauritius,-20.2833,57.55,TanzaniaMozambiqueGhanaMoroccoSenegalNigeriaEgypt
37662,WIOCC-AS,,Mauritius,-20.2833,57.55,TanzaniaMozambiqueGhanaMoroccoSenegalNigeriaEgypt
37662,WIOCC-AS,Marseille,France,43.2951,5.3861,TanzaniaMozambiqueGhanaMoroccoSenegalNigeriaEgypt
327700,MoRENet,,Mozambique,-18.25,35.0,MozambiqueTanzaniaGhanaAlgeriaMoroccoSenegalKenyaNigeriaEgyptSA
31960,EMUNET,Maputo,Mozambique,-25.9653,32.5892,MozambiqueTanzaniaGhanaAlgeriaMoroccoSenegalKenyaNigeriaEgyptSA
31960,EMUNET,Maputo,Mozambique,-25.9653,32.5892,MozambiqueTanzaniaGhanaAlgeriaMoroccoSenegalKenyaNigeriaEgyptSA
31960,EMUNET,Maputo,Mozambique,-25.9653,32.5892,MozambiqueTanzaniaGhanaAlgeriaMoroccoSenegalKenyaNigeriaEgyptSA
31960,EMUNET,Maputo,Mozambique,-25.9653,32.5892,MozambiqueTanzaniaGhanaAlgeriaMoroccoSenegalKenyaNigeriaEgyptSA
37684,ANGANI-AS,,Kenya,1.0,38.0,TanzaniaMozambiqueGhanaAlgeriaMoroccoSenegalNigeriaEgyptSA
37684,ANGANI-AS,,Kenya,1.0,38.0,TanzaniaMozambiqueGhanaAlgeriaMoroccoSenegalNigeriaEgyptSA
37662,WIOCC-AS,,Mauritius,-20.2833,57.55,TanzaniaMozambiqueGhanaMoroccoSenegalNigeriaEgypt
37662,WIOCC-AS,,Mauritius,-20.2833,57.55,TanzaniaMozambiqueGhanaMoroccoSenegalNigeriaEgypt
37662,WIOCC-AS,Marseille,France,43.2951,5.3861,TanzaniaMozambiqueGhanaMoroccoSenegalNigeriaEgypt
327700,MoRENet,,Mozambique,-18.25,35.0,MozambiqueTanzaniaGhanaAlgeriaMoroccoSenegalKenyaNigeriaEgyptSA
31960,EMUNET,Maputo,Mozambique,-25.9653,32.5892,MozambiqueTanzaniaGhanaAlgeriaMoroccoSenegalKenyaNigeriaEgyptSA
31960,EMUNET,Maputo,Mozambique,-25.9653,32.5892,MozambiqueTanzaniaGhanaAlgeriaMoroccoSenegalKenyaNigeriaEgyptSA
31960,EMUNET,Maputo,Mozambique,-25.9653,32.5892,MozambiqueTanzaniaGhanaAlgeriaMoroccoSenegalKenyaNigeriaEgyptSA
36914,Kenya Education Network,,Kenya,1.0,38.0,TanzaniaMozambiqueGhanaAlgeriaMoroccoSenegalNigeriaEgyptSAKenya
36914,Kenya Education Network,,Kenya,1.0,38.0,TanzaniaMozambiqueGhanaAlgeriaMoroccoSenegalNigeriaEgyptSAKenya
36914,Kenya Education Network,,Kenya,1.0,38.0,TanzaniaMozambiqueGhanaAlgeriaMoroccoSenegalNigeriaEgyptSAKenya
36944,Ubuntunet Alliance For Research and Education Networking,,South Africa,-29.0,24.0,MozambiqueGhanaAlgeriaMoroccoSenegalNigeriaEgyptSAKenya
