iata,name,city,country,latitude,longitude,s
42235,Intra Data Communication,,Mozambique,-18.25,35.0,Mozambique
3741,IS,,South Africa,-29.0,24.0,Mozambique
3741,IS,,South Africa,-29.0,24.0,Mozambique
3741,IS,,South Africa,-29.0,24.0,Mozambique
3741,IS,,South Africa,-29.0,24.0,Mozambique
37100,SEACOM-AS,Johannesburg,South Africa,-26.2309,28.0583,MozambiqueTanzania
37100,SEACOM-AS,,Mauritius,-20.2833,57.55,MozambiqueTanzania
37100,SEACOM-AS,,Mauritius,-20.2833,57.55,MozambiqueTanzania
37100,SEACOM-AS,Maputo,Mozambique,-25.9653,32.5892,MozambiqueTanzania
37100,SEACOM-AS,Maputo,Mozambique,-25.9653,32.5892,MozambiqueTanzania
31960,EMUNET,Maputo,Mozambique,-25.9653,32.5892,Mozambique
31960,EMUNET,Maputo,Mozambique,-25.9653,32.5892,Mozambique
3491,PCCW Global Inc.,,United States,37.751,-97.822,MozambiqueGhana
3491,PCCW Global Inc.,,United States,37.751,-97.822,MozambiqueGhana
3491,PCCW Global Inc.,,United States,37.751,-97.822,MozambiqueGhana
31960,EMUNET,Maputo,Mozambique,-25.9653,32.5892,Mozambique
31960,EMUNET,Maputo,Mozambique,-25.9653,32.5892,Mozambique
36903,MT-MPLS,Rabat,Morocco,34.0123,-6.8484,Morocco
6713,Itissalat Al-MAGHRIB,,Morocco,32.0,-5.0,Morocco
6713,Itissalat Al-MAGHRIB,,Morocco,32.0,-5.0,Morocco
6713,Itissalat Al-MAGHRIB,,Morocco,32.0,-5.0,Morocco
174,Cogent Communications,,United States,37.751,-97.822,Morocco
174,Cogent Communications,,,47.0,8.0,Morocco
174,Cogent Communications,,United States,37.751,-97.822,Morocco
174,Cogent Communications,,United States,37.751,-97.822,Morocco
174,Cogent Communications,,United States,37.751,-97.822,Morocco
174,Cogent Communications,,United States,37.751,-97.822,Morocco
174,Cogent Communications,Montreal,Canada,45.5329,-73.5565,Morocco
